,Charging event,User ID,CP ID,Connector,Start Date,Start Time,End Date,End Time,Total kWh,Cost,Site,Group,Model,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
60,11682882,621188,50268,2,31/01/2021,18:13,31/01/2021,21:06,15.3,0.0,"Housing Office West, Aimer Square, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,,,80650DE2621104,
61,11682870,603589,51585,2,31/01/2021,18:11,31/01/2021,18:16,2.22,0.71,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,804F0BC23A8504,Nissan LEAF
62,11682799,607753,51584,2,31/01/2021,17:59,31/01/2021,18:10,7.052,1.43,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,804377FA2E5B04,Nissan LEAF
63,11682780,625085,51088,2,31/01/2021,17:56,01/02/2021,08:26,55.647,8.71,"Gellatly Street Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,,,8.0617E+13,BMW i3
64,11682715,528794,50692,2,31/01/2021,17:48,31/01/2021,18:42,33.94,5.47,"Dundee Ice Arena, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT Triple Rapid Charger,,,8065B0AA185404,Kia Soul EV
65,11682696,605355,51426,2,31/01/2021,17:45,31/01/2021,17:57,5.419,1.19,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,804D1CC23C4F04,Nissan LEAF
66,11682624,614734,51426,2,31/01/2021,17:34,31/01/2021,17:37,1.96,0.67,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8062CBA26B4404,Nissan LEAF
67,11682576,625085,51547,1,31/01/2021,17:27,31/01/2021,17:58,19.879,3.36,"Lochee Charging Hub, Aimer Square, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8.0617E+13,BMW i3
68,11682556,625592,50676,2,31/01/2021,17:24,01/02/2021,07:33,37.42,5.99,"Olympia Multi-Storey Car Park, Dundee",APT Controls; CYC; ChargePlace Scotland; Dundee City Council,APT 7kW Dual Outlet,,,8.0617E+13,BMW i3
69,11682552,614677,51596,2,31/01/2021,17:24,31/01/2021,18:07,20.999,3.52,"Queen Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8062CBA2392004,Nissan LEAF
70,11682548,624978,51421,1,31/01/2021,17:23,31/01/2021,18:02,18.15,0.0,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 50kW Raption,,,8.0617E+13,Hyundai Ioniq
71,11682488,610681,51427,1,31/01/2021,17:15,31/01/2021,20:05,9.859,1.85,"Princes Street Charging Hub, Dundee",APT Controls; APT test; CYC; ChargePlace Scotland; Dundee City Council,APT 22kW Dual Outlet,,,805E81C2237E04,Nissan LEAF
